sku_id,horizon_demand,on_hand_units,on_order_units,available_stock,stockout_risk,overstock_risk,recommended_action
SKU0109,1521.2778585479432,158,0,158,1,0,Reorder now
SKU0110,323.29707025992263,73,0,73,1,0,Reorder now
SKU0111,483.27262912389733,95,0,95,1,0,Reorder now
SKU0112,49.32572658766838,63,0,63,0,0,Healthy
SKU0113,13.27737493777692,59,0,59,0,1,Markdown / clear
SKU0114,959.2551893477524,74,55,129,1,0,Reorder now
SKU0115,2850.7824841230313,154,0,154,1,0,Reorder now
SKU0116,12.307985839257597,66,85,151,0,1,Markdown / clear
SKU0117,13.27737493777692,186,0,186,0,1,Markdown / clear
SKU0118,1557.8771210373047,132,0,132,1,0,Reorder now
SKU0119,2460.8636631210247,11,107,118,1,0,Reorder now
SKU0120,639.5526433835091,63,0,63,1,0,Reorder now
SKU0121,79.67424158381519,60,0,60,1,0,Reorder now
SKU0122,145.469899990637,73,0,73,1,0,Reorder now
SKU0123,2823.1215868870895,178,0,178,1,0,Reorder now
SKU0124,2797.5990885248593,92,0,92,1,0,Reorder now
SKU0125,164.56667192310132,94,0,94,1,0,Reorder now
SKU0126,280.5397470882931,150,0,150,1,0,Reorder now
SKU0127,122.90562915358525,64,0,64,1,0,Reorder now
SKU0128,562.6189893839132,117,0,117,1,0,Reorder now
SKU0129,223.90830996888965,47,86,133,1,0,Reorder now
SKU0130,27.76654520383747,194,0,194,0,1,Markdown / clear
SKU0131,106.88911583639019,83,0,83,1,0,Reorder now
SKU0132,529.0287392168839,66,35,101,1,0,Reorder now
SKU0133,14.178577430810599,0,0,0,1,0,Reorder now
SKU0134,119.57594537610424,77,0,77,1,0,Reorder now
SKU0135,13.656511815976517,95,0,95,0,1,Markdown / clear
SKU0136,1149.9404517964808,161,105,266,1,0,Reorder now
SKU0137,994.2293818768967,158,0,158,1,0,Reorder now
SKU0138,1447.8517906859888,54,0,54,1,0,Reorder now
SKU0139,86.04977324269605,72,32,104,0,0,Healthy
SKU0140,58.23419567146541,193,48,241,0,1,Markdown / clear
SKU0141,529.5856288818735,145,14,159,1,0,Reorder now
SKU0142,336.13781260063604,76,0,76,1,0,Reorder now
SKU0143,39.48534048119559,142,5,147,0,1,Markdown / clear
SKU0144,68.2256239697913,57,0,57,1,0,Reorder now
SKU0145,2820.1452575420794,98,73,171,1,0,Reorder now
SKU0146,13.27737493777692,190,0,190,0,1,Markdown / clear
SKU0147,2444.3081901790647,90,0,90,1,0,Reorder now
SKU0148,1757.5205748358983,81,0,81,1,0,Reorder now
SKU0149,137.72904265272808,80,0,80,1,0,Reorder now
SKU0150,77.94398749600776,47,0,47,1,0,Reorder now
SKU0151,332.7969327607682,150,0,150,1,0,Reorder now
SKU0152,418.30931791354254,176,0,176,1,0,Reorder now
SKU0153,1459.2266776604295,34,0,34,1,0,Reorder now
SKU0154,2143.197411577541,33,0,33,1,0,Reorder now
SKU0155,465.9869673402387,113,3,116,1,0,Reorder now
SKU0156,102.78718198168463,96,0,96,1,0,Reorder now
SKU0157,13.186913266026794,32,57,89,0,1,Markdown / clear
SKU0158,13.186913266026794,116,0,116,0,1,Markdown / clear
SKU0159,77.33874839403649,13,0,13,1,0,Reorder now
SKU0160,2483.4317139825516,48,0,48,1,0,Reorder now
SKU0161,2485.0691894080765,139,0,139,1,0,Reorder now
SKU0162,418.32927845701226,122,3,125,1,0,Reorder now
SKU0163,36.582258415639494,114,0,114,0,1,Markdown / clear
SKU0164,553.7418991888167,131,0,131,1,0,Reorder now
SKU0165,56.33993454352048,139,118,257,0,1,Markdown / clear
SKU0166,2819.319048829341,90,0,90,1,0,Reorder now
SKU0167,1414.3072052760226,101,0,101,1,0,Reorder now
SKU0168,830.8300288827023,0,115,115,1,0,Reorder now
SKU0169,1715.8346844493446,25,0,25,1,0,Reorder now
SKU0170,1247.9888075977397,155,0,155,1,0,Reorder now
SKU0171,1554.1947268728513,75,0,75,1,0,Reorder now
SKU0172,379.6324244068786,94,0,94,1,0,Reorder now
SKU0173,77.3104134758148,30,25,55,1,0,Reorder now
SKU0174,29.34916389029003,98,0,98,0,1,Markdown / clear
SKU0175,835.3388373140816,76,0,76,1,0,Reorder now
SKU0176,1226.800844559961,72,0,72,1,0,Reorder now
SKU0177,994.8955429492789,79,0,79,1,0,Reorder now
SKU0178,613.524710608968,48,52,100,1,0,Reorder now
SKU0179,1875.3864568265656,49,0,49,1,0,Reorder now
SKU0180,14.203216834941154,218,93,311,0,1,Markdown / clear
SKU0181,1668.4293124722867,85,0,85,1,0,Reorder now
SKU0182,2637.0804174393666,158,0,158,1,0,Reorder now
SKU0183,1547.2875464671752,153,44,197,1,0,Reorder now
SKU0184,2642.6270800650336,125,0,125,1,0,Reorder now
SKU0185,2495.803400898609,22,107,129,1,0,Reorder now
SKU0186,146.28106384007398,57,0,57,1,0,Reorder now
SKU0187,461.4070456741707,128,0,128,1,0,Reorder now
SKU0188,13.27737493777692,144,0,144,0,1,Markdown / clear
SKU0189,2692.7849281333847,197,105,302,1,0,Reorder now
SKU0190,2441.0464116041494,138,0,138,1,0,Reorder now
SKU0191,1047.962338755432,94,63,157,1,0,Reorder now
SKU0192,115.57073256319362,79,0,79,1,0,Reorder now
SKU0193,93.14949482027136,160,9,169,0,0,Healthy
SKU0194,950.3194180201283,0,0,0,1,0,Reorder now
SKU0195,36.393039064836046,209,0,209,0,1,Markdown / clear
SKU0196,97.65718296174127,25,119,144,0,0,Healthy
SKU0197,2826.4539165568663,1,0,1,1,0,Reorder now
SKU0198,12.307985839257597,74,0,74,0,1,Markdown / clear
SKU0199,1243.76703834245,88,0,88,1,0,Reorder now
SKU0200,14.203216834941154,76,0,76,0,1,Markdown / clear
